id,question,type,stimulus
0,How certain are you that you can switch the car safely to the left lane in the current scenario?,image,/img/image_0.jpg
1,How certain are you that you can switch the car safely to the left lane in the current scenario?,image,/img/image_1.jpg
2,How certain are you that you can switch the car safely to the left lane in the current scenario?,image,/img/image_2.jpg
3,How certain are you that you can switch the car safely to the left lane in the current scenario?,image,/img/image_3.jpg
4,How certain are you that you can switch the car safely to the left lane in the current scenario?,image,/img/image_4.jpg
5,How certain are you that you can switch the car safely to the left lane in the current scenario?,image,/img/image_5.jpg
6,How certain are you that you can switch the car safely to the left lane in the current scenario?,image,/img/image_6.jpg
7,How certain are you that you can switch the car safely to the left lane in the current scenario?,image,/img/image_7.jpg
8,How certain are you that you can switch the car safely to the left lane in the current scenario?,image,/img/image_8.jpg
9,How certain are you that you can switch the car safely to the left lane in the current scenario?,image,/img/image_9.jpg
10,How certain are you that you can switch the car safely to the left lane in the current scenario?,image,/img/image_10.jpg
11,How certain are you that you can switch the car safely to the left lane in the current scenario?,image,/img/image_11.jpg
12,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_0.mp4
13,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_1.mp4
14,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_2.mp4
15,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_3.mp4
16,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_4.mp4
17,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_5.mp4
18,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_6.mp4
19,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_7.mp4
20,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_8.mp4
21,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_9.mp4
22,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_10.mp4
23,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_11.mp4
24,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_12.mp4
25,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_13.mp4
26,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_14.mp4
27,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_15.mp4
28,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_16.mp4
29,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_17.mp4
30,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_18.mp4
31,How certain are you that you can switch the car safely to the left lane in the current scenario?,video,/videos/video_19.mp4
