id,question,short_name,label_0,label_100,stimulus,video_length,vehicle_type,description,speed,comments,partner_video
0,At the end of the scenario the driver of your car changes to the left lane. How <strong>certain</strong> would you feel?,driver_certain,Absolutely not certain,Absolutely certain,/videos/video_0.mp4,10000,MDV,Basic traffic,30,Safe to change lane to the left lane,video_10
1,At the end of the scenario the driver of your car changes to the left lane. How <strong>certain</strong> would you feel?,driver_certain,Absolutely not certain,Absolutely certain,/videos/video_1.mp4,10000,MDV,Car approaching in the left lane,30,Safe to change lane to the left lane,video_11
2,At the end of the scenario the driver of your car changes to the left lane. How <strong>certain</strong> would you feel?,driver_certain,Absolutely not certain,Absolutely certain,/videos/video_2.mp4,10000,MDV,Car approaching in the left lane,30,Debatable if it is safe to change lane to the left lane,video_12
3,At the end of the scenario the driver of your car changes to the left lane. How <strong>certain</strong> would you feel?,driver_certain,Absolutely not certain,Absolutely certain,/videos/video_3.mp4,10000,MDV,Basic traffic,30,Safe to change lane to the left lane,video_13
4,At the end of the scenario the driver of your car changes to the left lane. How <strong>certain</strong> would you feel?,driver_certain,Absolutely not certain,Absolutely certain,/videos/video_4.mp4,10000,MDV,Car behind is tailgating,30,Safe to change lane to the left lane,video_14
5,At the end of the scenario the driver of your car changes to the left lane. How <strong>certain</strong> would you feel?,driver_certain,Absolutely not certain,Absolutely certain,/videos/video_5.mp4,10000,MDV,Cars in front break abruptly,30,Safe to change lane to the left lane,video_15
6,At the end of the scenario the driver of your car changes to the left lane. How <strong>certain</strong> would you feel?,driver_certain,Absolutely not certain,Absolutely certain,/videos/video_6.mp4,10000,MDV,Car overtakes from the right,30,Safe to change lane to the left lane,video_16
7,At the end of the scenario the driver of your car changes to the left lane. How <strong>certain</strong> would you feel?,driver_certain,Absolutely not certain,Absolutely certain,/videos/video_7.mp4,10000,MDV,Car overtakes from the right,30,Debatable if it is safe to change lane to the left lane,video_17
8,At the end of the scenario the driver of your car changes to the left lane. How <strong>certain</strong> would you feel?,driver_certain,Absolutely not certain,Absolutely certain,/videos/video_8.mp4,10000,MDV,Car approaching in the left lane,60,Debatable if it is safe to change lane to the left lane,video_18
9,At the end of the scenario the driver of your car changes to the left lane. How <strong>certain</strong> would you feel?,driver_certain,Absolutely not certain,Absolutely certain,/videos/video_9.mp4,10000,MDV,Car overtaking in the left lane,30,Not safe to change lane to the left lane,video_19
