in,out,start,end
86_MF_0_baseline_roleIdx-0_target_labeled-false_ego_labeled-false_23-09-09_05-48.mp4,video_instruction_mv.mp4,00:00:35.000,00:00:40.000
96_MF_0_baseline_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-09_06-24.mp4,video_instruction_av.mp4,00:00:35.000,00:00:40.000
86_MF_0_baseline_roleIdx-0_target_labeled-false_ego_labeled-false_23-09-09_05-48.mp4,video_0.mp4,00:00:03.000,00:00:08.000
86_MF_0_baseline_roleIdx-0_target_labeled-false_ego_labeled-false_23-09-09_05-48.mp4,video_1.mp4,00:00:17.000,00:00:22.000
86_MF_0_baseline_roleIdx-0_target_labeled-false_ego_labeled-false_23-09-09_05-48.mp4,video_2.mp4,00:00:20.000,00:00:25.000
87_MF_1_overtake_roleIdx-0_target_labeled-false_ego_labeled-false_23-09-09_05-52.mp4,video_3.mp4,00:00:13.000,00:00:18.000
88_MF_2_small_gap_roleIdx-0_target_labeled-false_ego_labeled-false_23-09-09_05-56.mp4,video_4.mp4,00:00:15.000,00:00:20.000
89_MF_3_abrupt_break_roleIdx-0_target_labeled-false_ego_labeled-false_23-09-09_05-59.mp4,video_5.mp4,00:00:15.000,00:00:20.000
90_MF_7_cut_off_roleIdx-0_target_labeled-false_ego_labeled-false_23-09-09_06-03.mp4,video_6.mp4,00:00:09.000,00:00:14.000
91_MF_8_cut_up_roleIdx-0_target_labeled-false_ego_labeled-false_23-09-09_06-06.mp4,video_7.mp4,00:00:11.000,00:00:16.000
93_MF_19_speed_limit_roleIdx-0_target_labeled-false_ego_labeled-false_23-09-09_06-14.mp4,video_8.mp4,00:00:11.000,00:00:16.000
94_MF_20_target_breaks_roleIdx-0_target_labeled-false_ego_labeled-false_23-09-09_06-17.mp4,video_9.mp4,00:00:05.000,00:00:10.000
96_MF_0_baseline_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-09_06-24.mp4,video_10.mp4,00:00:03.000,00:00:08.000
96_MF_0_baseline_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-09_06-24.mp4,video_11.mp4,00:00:17.000,00:00:22.000
96_MF_0_baseline_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-09_06-24.mp4,video_12.mp4,00:00:20.000,00:00:25.000
97_MF_1_overtake_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-09_06-28.mp4,video_13.mp4,00:00:13.000,00:00:18.000
98_MF_2_small_gap_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-09_06-32.mp4,video_14.mp4,00:00:15.000,00:00:20.000
99_MF_3_abrupt_break_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-09_06-35.mp4,video_15.mp4,00:00:15.000,00:00:20.000
100_MF_7_cut_off_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-09_06-39.mp4,video_16.mp4,00:00:09.000,00:00:14.000
101_MF_8_cut_up_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-09_06-42.mp4,video_17.mp4,00:00:11.000,00:00:16.000
103_MF_19_speed_limit_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-09_06-50.mp4,video_18.mp4,00:00:11.000,00:00:16.000
104_MF_20_target_breaks_roleIdx-0_target_labeled-false_ego_labeled-true_23-09-09_06-54.mp4,video_19.mp4,00:00:05.000,00:00:10.000
